short_name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,work_rate,player_tags,team_position,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits
C. McManaman,28,175,73,England,Luton Town,68,68,Right,Medium/Low,,RS,2019-07-01,2021,,,74,63,61,74,26,59,Crowd Favourite
Alberto Perea,28,177,74,Spain,Cádiz CF,68,68,Right,Medium/Medium,,LM,2017-07-17,2020,,,74,65,64,69,31,59,Power Free-Kick
G. Zigoni,28,188,80,Italy,Venezia FC,68,68,Right,High/Low,,SUB,2018-07-18,2020,,,67,64,49,64,38,71,Long Passer (CPU AI Only)
P. Mortensen,29,190,78,Denmark,Aarhus GF,68,68,Right,Medium/Low,,ST,2019-01-11,2022,,,53,67,50,61,29,73,Long Passer (CPU AI Only)
E. Salomonsson,30,183,75,Sweden,Sanfrecce Hiroshima,68,68,Right,High/Medium,,SUB,2019-01-01,2020,,,81,60,61,60,60,75,"Long Throw-in, Argues with Officials, Giant Throw-in"
T. Sana,29,174,72,Sweden,IFK Göteborg,68,68,Right,Medium/Low,,SUB,2019-08-11,2022,,,80,65,62,74,32,63,"Selfish, Crowd Favourite"
M. Gaus,29,183,80,Germany,FC Ingolstadt 04,68,68,Left,High/Medium,,LB,2017-07-01,2021,,,81,61,61,64,61,78,Injury Prone
K. Noborizato,28,168,68,Japan,Kawasaki Frontale,68,68,Left,High/Medium,#Speedster,RB,2009-01-01,2020,,,90,56,58,71,60,68,
Bruno Teles,33,183,77,Brazil,FC Paços de Ferreira,68,68,Left,Medium/Medium,,LB,2018-07-01,2020,,,67,57,67,64,67,72,Argues with Officials
Yu Yang,29,183,72,China PR,Beijing Sinobo Guoan FC,68,68,Right,Low/Medium,,SUB,2017-01-01,2021,,,64,25,42,47,66,76,Inflexible
Kim Sung Joon,31,174,68,Korea Republic,Ulsan Hyundai FC,68,68,Right,Medium/Medium,,SUB,2019-02-14,2022,,,69,61,68,66,57,70,Finesse Shot
C. Orrantía,28,176,63,Mexico,Santos Laguna,68,68,Right,High/High,,RB,2014-12-11,2022,,,82,54,62,69,53,66,Dives Into Tackles (CPU AI Only)
N. Bahoui,28,188,84,Sweden,AIK,68,68,Right,High/Medium,,SUB,2019-07-25,2022,,,76,67,64,67,27,72,"Argues with Officials, Crowd Favourite"
P. Huspek,28,172,69,Austria,SK Sturm Graz,68,68,Right,High/Medium,"#Speedster, #Acrobat",RM,2016-07-01,2020,,,91,62,60,70,29,61,Early Crosser
Mario Ortíz,30,178,65,Spain,Racing Santander,68,68,Right,Medium/Medium,,RDM,2019-01-25,2021,,,58,51,67,60,58,72,Finesse Shot
Héctor Rodas,31,190,85,Spain,AD Alcorcón,68,68,Right,Medium/Medium,,SUB,,2020,,,49,42,48,46,67,73,
T. Perthel,30,185,83,Germany,1. FC Magdeburg,68,68,Left,High/Medium,,LB,2019-01-03,2020,,,77,58,65,67,63,76,
Marc Mateu,29,180,71,Spain,CD Numancia,68,68,Left,Medium/Medium,,SUB,2015-07-28,2020,,,60,67,71,71,65,65,Finesse Shot
P. Kovář,33,187,89,Czech Republic,SK Slavia Praha,68,68,Right,Medium/Medium,,SUB,2017-01-01,2021,,,,,,,,,Giant Throw-in
M. Đurić,29,198,94,Bosnia Herzegovina,US Salernitana 1919,68,68,Right,High/High,"#Aerial Threat, #Strength",RS,2018-08-09,2022,,,50,66,53,55,32,77,"Long Passer (CPU AI Only), Giant Throw-in"
C. Benschop,29,191,90,Curacao,FC Groningen,68,68,Right,High/High,#Strength,SUB,2019-07-09,2021,,,59,69,60,62,38,77,Long Throw-in
M. Saunier,29,182,76,France,FC Lorient,68,68,Right,Medium/Medium,,LCB,2018-08-07,2021,,,43,36,52,56,66,69,
M. Leovac,30,180,71,Croatia,Dinamo Zagreb,68,68,Left,High/High,,LB,2018-07-01,2020,,,80,50,62,68,63,72,"Injury Prone, Dives Into Tackles (CPU AI Only)"
M. Beister,28,180,80,Germany,FC Ingolstadt 04,68,68,Left,Medium/Medium,,RM,2019-07-11,2021,,,79,67,61,71,39,66,
D. Gavazzi,33,185,73,Italy,Pordenone,68,68,Right,Medium/Medium,,LCM,2018-07-19,2020,,,72,63,66,68,59,69,
N. Backman,30,186,80,Sweden,Aarhus GF,68,68,Right,Medium/Medium,,RCB,2016-01-18,2021,,,53,50,50,51,68,71,
J. Norwood,28,183,73,England,Ipswich Town,68,68,Right,High/Medium,,RS,2019-07-01,2022,,,70,67,55,65,40,71,Diver
Isma López,29,179,75,Spain,CD Tenerife,68,68,Left,High/Medium,,SUB,2019-01-29,2021,,,81,58,65,66,59,71,
Borja Viguera,32,184,76,Spain,CD Numancia,68,68,Right,Medium/Medium,,SUB,2018-08-01,2020,,,67,68,59,67,29,64,
Thierry Moutinho,28,178,76,Portugal,FCSB (Steaua),68,68,Right,Medium/Medium,#Speedster,SUB,2019-07-15,2021,,,90,63,62,71,48,69,Early Crosser
J. Raitala,30,181,77,Finland,Montreal Impact,68,68,Left,Medium/Medium,,LCB,2017-12-14,2019,RB,22,61,47,65,64,66,73,Inflexible
A. Shafi,37,182,83,Jordan,Al Fayha,68,68,Right,Medium/Medium,,GK,2019-01-29,2020,,,,,,,,,
D. Ward,28,180,72,England,Cardiff City,68,68,Left,High/High,,SUB,2017-06-23,2020,,,68,69,62,67,35,67,"Power Free-Kick, Long Passer (CPU AI Only)"
E. Taşkıran,29,191,83,Turkey,Atiker Konyaspor,68,68,Right,Medium/Medium,,SUB,2018-07-09,2020,,,,,,,,,
J. Ahlmann,28,179,70,Denmark,Aalborg BK,68,68,Left,High/Medium,,LB,2009-08-01,2021,,,73,48,64,68,66,66,Power Free-Kick
C. Erbes,29,172,72,Argentina,Atlético Tucumán,68,68,Right,Medium/Medium,,RCM,2019-07-03,2020,,,66,54,61,63,70,62,"Power Free-Kick, Injury Prone"
L. Moult,27,184,85,England,Preston North End,68,68,Right,Medium/Medium,,SUB,2018-01-01,2021,,,66,68,50,63,39,72,
L. Schmitz,30,183,78,Germany,Wolfsberger AC,68,68,Left,Medium/Medium,,LB,2018-07-01,2020,,,66,57,62,61,67,74,Avoids Using Weaker Foot
A. Grimaldi,28,188,90,Germany,KFC Uerdingen 05,68,68,Right,Medium/Low,#Strength,SUB,2019-01-22,2021,,,69,66,53,60,29,79,"Power Free-Kick, Selfish"
J. Edmundsson,27,185,83,Faroe Islands,DSC Arminia Bielefeld,68,68,Left,High/Medium,,RW,2018-07-01,2020,,,73,63,62,69,40,66,Selfish
F. Farnolle,34,196,104,Benin,Yeni Malatyaspor,68,68,Right,Medium/Medium,,GK,2017-07-01,2023,,,,,,,,,Second Wind
M. Titsch Rivero,29,182,76,Germany,SV Wehen Wiesbaden,68,68,Left,Medium/Medium,,RDM,2018-09-05,2020,,,64,49,64,67,63,70,
M. Bejarano,31,172,70,Bolivia,Bolivia,68,68,Left,Medium/Medium,,,,,LB,17,66,33,54,63,67,68,
T. Bunbury,29,188,78,United States,New England Revolution,68,68,Right,Medium/Medium,,RM,2014-02-19,2019,,,74,66,60,66,38,75,
G. Åsen,28,182,71,Norway,Rosenborg BK,68,68,Left,High/Medium,,SUB,2019-01-22,2022,,,64,65,69,68,52,67,"Argues with Officials, Finesse Shot"
O. González,34,182,79,Chile,Universidad de Chile,68,68,Right,Medium/High,,SUB,2019-07-23,2020,,,39,49,62,55,67,71,Long Passer (CPU AI Only)
E. Larsson,27,175,68,Sweden,Malmö FF,68,68,Right,Medium/Medium,,RWB,2018-01-01,2021,,,65,54,66,62,64,76,"Diver, Injury Prone, Dives Into Tackles (CPU AI Only), Argues with Officials"
Y. de Lanlay,27,180,72,Norway,Rosenborg BK,68,68,Right,High/Medium,,SUB,2015-07-22,2019,,,84,61,63,71,52,61,Crowd Favourite
J. Leist,31,192,85,Germany,SG Sonnenhof Großaspach,68,68,Right,Medium/High,#Strength,RCB,2014-07-01,2021,,,43,29,42,44,66,79,Avoids Using Weaker Foot
Serginho,28,166,62,Brazil,Matsumoto Yamaga,68,68,Right,Medium/Low,,RF,2014-05-22,2020,,,76,64,64,72,33,48,"Argues with Officials, Early Crosser"
J. Taylor,26,168,77,England,Doncaster Rovers,68,68,Right,High/High,#Acrobat,RM,2019-08-09,2021,,,88,62,60,68,26,62,"Injury Free, Early Crosser"
A. Kačaniklić,27,181,72,Sweden,Hammarby IF,68,68,Left,Medium/Medium,,RW,2019-02-09,2021,,,69,61,69,69,40,50,"Power Free-Kick, Crowd Favourite"
J. Zárate,27,167,64,Mexico,Puebla FC,68,68,Left,High/Low,,SUB,2019-07-18,2023,,,86,59,61,71,37,52,Early Crosser
D. Ulvestad,30,189,84,Norway,Kristiansund BK,68,68,Right,Medium/High,,RCB,2013-01-01,2022,,,41,45,46,44,67,74,"Avoids Using Weaker Foot, Giant Throw-in"
L. Brattan,29,175,65,Australia,Sydney FC,68,68,Right,Medium/Medium,,RDM,2019-07-24,2020,,,66,63,69,67,60,72,"Long Throw-in, Argues with Officials"
J. Delaplace,33,168,67,France,FC Lorient,68,68,Right,Medium/High,,SUB,2018-01-29,2021,,,58,52,65,67,63,66,
D. Hediger,32,175,79,Switzerland,FC Thun,68,68,Right,Medium/Medium,,SUB,2010-07-01,2020,,,71,62,65,63,62,87,"Avoids Using Weaker Foot, Argues with Officials, Giant Throw-in"
M. Wittek,30,193,88,Germany,SV Darmstadt 98,68,68,Right,Low/Medium,#Strength,SUB,2019-01-30,2021,,,58,43,40,43,68,77,
F. Koch,30,180,68,Austria,SK Sturm Graz,68,68,Right,High/Medium,,SUB,2016-07-01,2021,,,77,50,55,64,65,70,
Deivid,30,188,76,Spain,UD Las Palmas,68,68,Right,Medium/Medium,,SUB,2018-07-02,2021,,,56,39,57,63,66,73,
D. Cvetinović,30,186,79,Serbia,Yokohama F. Marinos,68,68,Right,Medium/High,,SUB,2018-07-19,2020,,,61,46,54,56,66,78,"Power Free-Kick, Giant Throw-in"
N. Proschwitz,32,192,86,Germany,Eintracht Braunschweig,68,68,Right,High/High,#Strength,ST,2019-07-01,2021,,,42,69,52,55,28,80,Long Passer (CPU AI Only)
J. Cuffaut,31,180,74,France,Valenciennes FC,68,68,Right,Medium/Medium,,RWB,2018-07-01,2021,,,69,39,62,61,66,73,Early Crosser
C. Quaner,28,191,79,Germany,Huddersfield Town,68,68,Left,High/Medium,,SUB,2017-01-20,2020,,,73,64,60,65,28,72,Early Crosser
Z. Diallo,32,194,91,France,Racing Club de Lens,68,68,Right,Medium/High,#Strength,SUB,2019-08-14,2021,,,42,40,56,53,66,77,
G. Bunoza,31,197,95,Bosnia Herzegovina,Incheon United FC,68,68,Left,Medium/Medium,#Strength,LCB,2017-01-06,2020,,,43,37,49,45,65,83,
Kim Won Il,32,185,77,Korea Republic,Jeju United FC,68,68,Right,Medium/High,,RCB,2017-01-06,2023,,,63,35,47,42,69,71,
Yoon Bit Garam,29,178,75,Korea Republic,Sangju Sangmu FC,68,68,Right,Medium/Medium,,LCM,2015-12-13,2020,,,74,64,68,67,57,70,"Leadership, Finesse Shot"
O. Zahustel,28,187,81,Czech Republic,Sparta Praha,68,68,Right,Medium/Medium,,RES,2016-01-01,2021,,,74,59,59,62,64,74,"Early Crosser, Long Passer (CPU AI Only)"
L. Laverone,30,175,70,Italy,Ascoli,68,68,Right,High/Medium,,RB,2018-09-05,2021,,,87,50,67,67,58,77,
D. Høegh,28,190,79,Denmark,SC Heerenveen,68,68,Right,Medium/Medium,,RCB,2017-07-01,2020,,,46,40,50,49,67,73,
L. Boyce,28,184,75,Northern Ireland,Burton Albion,68,68,Right,Medium/Low,,ST,2017-06-20,2020,SUB,9,68,68,52,66,33,75,Beat Offside Trap
Kim Jin Hyeon,31,193,78,Korea Republic,Cerezo Osaka,68,68,Right,Medium/Medium,,GK,2009-01-01,2023,,,,,,,,,
E. Demir,29,178,72,Sweden,SV Zulte-Waregem,68,68,Left,High/Medium,,SUB,2018-07-01,2021,,,72,50,68,70,64,65,
A. Yasin,28,185,77,Iraq,BK Häcken,68,68,Right,Medium/Medium,,RW,2019-01-29,2021,,,79,64,60,73,40,70,"Selfish, Argues with Officials, Crowd Favourite"
Yu Hai,32,183,70,China PR,Shanghai SIPG FC,68,68,Left,Medium/Medium,,RES,2015-02-25,2020,,,73,53,65,65,65,68,Early Crosser
J. Anibaba,30,183,77,United States,New England Revolution,68,68,Right,Medium/Medium,,LCB,2018-02-09,2019,,,58,44,55,53,67,74,Long Shot Taker (CPU AI Only)
J. Williams,31,188,84,United States,Columbus Crew SC,68,68,Right,Medium/High,,LCB,2017-01-05,2019,,,61,46,59,57,67,74,"Injury Prone, Avoids Using Weaker Foot"
Im Seon Yeong,31,185,78,Korea Republic,Jeonbuk Hyundai Motors,68,68,Right,Medium/Medium,,LCM,2018-01-05,2023,,,66,63,67,66,63,71,Finesse Shot
D. Arias,34,170,67,Colombia,Independiente Medellín,68,68,Right,Medium/High,,SUB,2019-01-01,2021,,,63,59,65,66,67,68,Injury Prone
Borja Granero,29,189,75,Spain,Extremadura UD,68,68,Left,Medium/High,,LCB,2018-07-24,2020,,,63,61,58,56,65,76,
T. Röcher,28,181,78,Austria,SK Sturm Graz,68,68,Left,Medium/Medium,,SUB,,2020,,,78,61,61,71,23,66,Crowd Favourite
A. Kochenkov,32,195,83,Russia,Lokomotiv Moscow,68,68,Right,Medium/Medium,,SUB,2015-07-01,2020,,,,,,,,,
L. Palun,30,179,77,Gabon,En Avant de Guingamp,68,68,Right,Medium/Medium,,SUB,2019-08-12,2021,,,72,52,60,62,66,69,
Kim Oh Gyu,30,183,77,Korea Republic,Gangwon FC,68,68,Right,Medium/High,,RCB,2017-04-04,2023,,,72,41,60,44,65,80,
Han Kyo Won,29,182,73,Korea Republic,Jeonbuk Hyundai Motors,68,68,Right,High/Medium,#Acrobat,SUB,2014-01-05,2020,,,85,66,61,70,57,67,"Injury Free, Early Crosser, Crowd Favourite"
G. Teigl,28,183,77,Austria,FC Augsburg,68,68,Right,High/Medium,,RB,2016-07-01,2022,,,84,55,59,66,61,70,Early Crosser
A. Galabinov,30,190,88,Bulgaria,Spezia,68,68,Right,Medium/Low,#Strength,ST,2018-08-17,2021,,,39,70,57,59,21,77,
S. Dallas,28,183,81,Northern Ireland,Leeds United,68,68,Right,High/High,,SUB,2015-08-04,2020,RB,14,73,63,64,69,65,71,Power Free-Kick
M. Pospíšil,28,178,78,Czech Republic,Jagiellonia Białystok,68,68,Right,Medium/Medium,,RDM,2017-07-04,2021,,,69,54,65,71,59,66,"Diver, Speed Dribbler (CPU AI Only)"
G. Courtet,30,180,76,France,AC Ajaccio,68,68,Right,Medium/Medium,,ST,,2020,,,68,66,60,65,26,70,Long Throw-in
M. Smith,30,198,91,England,Millwall,68,68,Left,Medium/Medium,"#Aerial Threat, #Strength",ST,2019-07-01,2023,,,45,66,50,49,42,79,Long Passer (CPU AI Only)
B. Romo,30,186,86,Chile,CD Antofagasta,68,68,Right,Low/High,#Strength,LCB,2017-06-14,2023,,,51,28,46,47,66,78,Injury Prone
F. Seymour,31,174,78,Chile,Unión Española,68,68,Right,Medium/High,,RCM,2019-01-31,2019,,,69,53,62,56,66,79,
C. Muñoz,30,173,67,Chile,CD Cobresal,68,68,Right,High/Low,,ST,2019-03-07,2022,,,83,65,57,64,31,72,
K. Aouadhi,33,194,80,Tunisia,Abha Club,68,68,Right,Medium/High,,RCM,2019-07-27,2021,,,59,57,63,63,65,74,
H. Lybohy,35,186,85,Ivory Coast,AS Nancy Lorraine,68,68,Left,Medium/Medium,#Strength,LCB,2019-07-08,2020,,,52,26,44,38,67,76,"Leadership, Long Passer (CPU AI Only)"
F. Gardoș,30,193,84,Romania,Universitatea Craiova,68,68,Right,Medium/High,,RES,2019-01-10,2020,,,34,49,52,54,67,75,Power Free-Kick
D. Mohamed,30,182,73,France,Royal Excel Mouscron,68,68,Left,High/High,,LCM,2012-07-01,2021,,,65,57,66,64,67,71,Early Crosser
Salvador Agra,27,166,61,Portugal,Legia Warszawa,68,68,Right,Medium/Low,,SUB,2019-01-04,2021,,,89,63,62,72,35,50,"Injury Free, Early Crosser"
D. Zbozień,30,186,80,Poland,Arka Gdynia,68,68,Right,High/Medium,,RB,2016-07-22,2020,,,79,52,59,62,66,74,Long Shot Taker (CPU AI Only)
Choe Yeong Joon,27,180,77,Korea Republic,Pohang Steelers,68,68,Right,Medium/Medium,,SUB,,2019,,,69,61,66,67,63,67,Finesse Shot
B. Röcker,29,197,92,Germany,SV Wehen Wiesbaden,68,68,Left,Low/High,#Strength,SUB,2019-07-01,2021,,,31,30,43,38,68,76,
Y. Croizet,27,178,77,France,Sporting Kansas City,68,68,Left,Medium/Medium,,SUB,2017-12-16,2020,,,73,67,64,73,47,70,"Inflexible, Argues with Officials, Crowd Favourite"
E. Salli,26,171,77,Cameroon,Sepsi OSK,68,68,Right,Medium/Medium,,SUB,2019-07-29,2021,,,87,64,59,74,31,63,"Injury Free, Early Crosser"
F. Kaplan,30,190,79,Turkey,Antalyaspor,68,68,Right,Medium/Medium,,SUB,2016-06-10,2022,,,,,,,,,
Y. Sané,29,191,91,Senegal,KV Oostende,68,68,Right,Medium/Medium,,SUB,2019-07-08,2020,,,64,47,52,56,65,76,
A. Mățel,29,175,70,Romania,FC Hermannstadt,68,68,Right,High/High,,RB,2019-02-08,2023,,,71,53,62,68,65,67,"Power Free-Kick, Dives Into Tackles (CPU AI Only)"
A. Harush,31,191,89,Israel,Sparta Rotterdam,68,68,Right,Medium/Medium,,SUB,2019-07-18,2020,,,,,,,,,
H. Halldórsson,35,193,88,Iceland,Iceland,68,68,Right,Medium/Medium,,,,,GK,1,,,,,,,Second Wind
R. Camacho,28,185,79,France,Montreal Impact,68,68,Right,Medium/Medium,,SUB,2018-03-26,2021,,,48,39,61,59,66,68,Leadership
A. Calello,32,178,71,Argentina,Club Atlético Huracán,68,68,Right,Low/High,,CDM,2019-07-03,2020,,,53,42,60,63,67,68,Injury Prone
K. Rowe,27,173,68,United States,Real Salt Lake,68,68,Right,High/High,,SUB,2019-08-08,2020,,,62,67,68,69,58,63,
R. Kristiansen,31,183,74,Norway,SK Brann,68,68,Left,High/Medium,,SUB,2015-08-10,2020,,,83,45,57,65,63,67,Early Crosser
H. Pertuz,30,183,73,Colombia,Independiente Medellín,68,68,Right,Low/Medium,,RES,2008-01-01,2020,,,53,26,46,39,67,74,
E. Soriano,30,184,84,Germany,VVV-Venlo,68,68,Right,Medium/Medium,,ST,2019-07-01,2020,,,73,65,50,65,27,76,Speed Dribbler (CPU AI Only)
B. Fofana,29,193,84,Guinea,Gaz Metan Mediaş,68,68,Right,Medium/Medium,#Strength,SUB,2018-07-09,2020,,,32,58,56,59,66,88,
F. Bong,31,187,87,Cameroon,Valenciennes FC,68,68,Right,Low/Medium,#Strength,RCB,2019-01-31,2021,,,48,23,47,40,67,79,
I. Ghaleb,28,176,76,Saudi Arabia,Al Faisaly,68,68,Right,Medium/High,,LDM,2019-07-01,2020,,,69,63,68,68,64,71,"Power Free-Kick, Leadership"
S. Nachreiner,30,187,77,Germany, SSV Jahn Regensburg,68,68,Right,Low/Medium,,RCB,2010-07-01,2020,,,40,23,37,37,69,72,
M. Matras,28,193,88,Poland,Górnik Zabrze,68,68,Right,Medium/High,#Strength,LDM,2019-07-01,2021,,,49,50,57,53,67,82,Injury Prone
A. Frączczak,31,184,79,Poland,Pogoń Szczecin,68,68,Right,High/High,,SUB,2011-01-01,2021,,,74,65,65,65,64,74,"Inflexible, Giant Throw-in"
D. Burbano,31,168,63,Colombia,Club Atlético Aldosivi,68,68,Right,High/Low,,SUB,2019-07-15,2020,,,81,62,63,71,44,54,Early Crosser
M. Modolo,30,186,82,Italy,Venezia FC,68,68,Left,Medium/High,,RCB,2015-08-24,2021,,,67,45,49,49,65,80,
Éverton Luiz,31,173,70,Brazil,Real Salt Lake,68,68,Right,Medium/Medium,,RDM,,2019,,,54,55,64,66,68,64,Injury Prone
M. Herrera,30,183,81,Mexico,Club León,68,68,Right,Low/High,,SUB,2018-07-16,2023,,,55,36,46,50,68,66,
W. Bakhashwain,29,176,66,Saudi Arabia,Al Wehda,68,68,Right,Medium/Medium,,RDM,2018-06-09,2020,,,63,45,59,67,66,79,Injury Prone
Bruno Moreira,31,185,79,Portugal,Rio Ave FC,68,68,Right,Medium/Low,,ST,2018-07-01,2021,,,61,67,53,64,34,74,
D. Buballa,29,187,80,Germany,FC St. Pauli,68,68,Left,High/Medium,,LB,2014-07-01,2021,,,81,43,60,65,63,75,"Inflexible, Injury Prone"
F. Falco,27,171,70,Italy,Lecce,68,68,Left,Medium/Low,#Acrobat,SUB,2018-07-04,2022,,,81,66,68,77,29,56,"Beat Offside Trap, Crowd Favourite"
Gégé,31,184,83,Cape Verde,Al Fayha,68,68,Right,Medium/Medium,,CB,2017-07-09,2020,,,48,34,54,55,66,75,
A. Al Jebreen,29,179,73,Saudi Arabia,Al Nassr,68,68,Right,Medium/Medium,,SUB,2014-05-06,2022,,,62,66,68,65,62,72,Leadership
L. Chiaretti,31,171,67,Brazil,Pordenone,68,68,Left,High/Low,,CAM,2019-07-22,2021,,,77,62,65,73,28,46,"Power Free-Kick, Selfish"
D. Accam,28,174,79,Ghana,Columbus Crew SC,68,68,Right,Medium/Low,,SUB,2019-05-08,2019,,,88,66,60,73,44,59,Early Crosser
J. López,27,173,63,Algeria,Paris FC,68,68,Right,High/Medium,,LM,2017-06-27,2022,,,79,58,61,73,40,54,
R. Rodríguez,31,183,87,Uruguay,Newell's Old Boys,68,68,Right,Low/High,,RES,2019-01-31,2019,,,72,46,59,60,66,81,
A. Rolin,30,186,76,Uruguay,CD Universidad de Concepción,68,68,Left,Medium/Medium,,RCB,2019-01-29,2019,,,56,28,36,48,67,69,"Power Free-Kick, Injury Prone"
O. Viera,32,187,83,Ivory Coast,FC Hermannstadt,68,68,Right,Medium/Medium,,RCB,2019-07-01,2021,,,41,51,44,40,66,79,
P. Riese,29,175,68,Germany,FC Erzgebirge Aue,68,68,Left,High/High,#Engine,LCM,2015-07-01,2023,,,69,54,61,62,64,75,Leadership
R. Benatelli,27,181,82,Germany,FC St. Pauli,68,68,Right,Medium/Medium,,CDM,2019-07-01,2022,,,59,61,66,68,58,75,Crowd Favourite
Ricardo Nunes,33,180,73,South Africa,Pogoń Szczecin,68,68,Left,High/Medium,,LB,2014-09-16,2020,,,78,55,65,65,63,66,
M. Osuna,30,177,76,Mexico,Monarcas Morelia,68,68,Right,Low/High,,LCM,2018-01-01,2024,,,64,60,64,66,68,69,
S. Caldwell,28,173,68,United States,New England Revolution,68,68,Right,Medium/High,,SUB,2012-12-01,2019,,,35,55,62,61,63,70,
J. Mombris,31,187,68,Madagascar,Grenoble Foot 38,68,68,Left,High/Medium,,LB,2018-07-01,2020,,,75,34,55,61,64,72,
F. Píriz,29,187,81,Uruguay,Montpellier HSC,68,68,Right,Medium/High,,SUB,2017-07-28,2020,,,53,44,61,57,66,81,
A. Vacca,29,172,67,Italy,Venezia FC,68,68,Right,High/Medium,,CM,2019-07-16,2022,,,73,50,62,67,59,70,Finesse Shot
João Meira,32,185,77,Portugal,Vitória de Setúbal,68,68,Right,Medium/Medium,,SUB,2019-07-27,2020,,,38,30,54,46,68,62,Leadership
D. Erdmann,28,188,86,Germany,TSV 1860 München,68,68,Right,High/High,,LCB,2019-07-01,2021,,,55,40,50,49,63,85,"Diver, Injury Prone"
F. Torijano,30,182,73,Colombia,Independiente Santa Fe,68,68,Right,Medium/Medium,,RCB,2019-01-18,2021,,,65,33,48,47,67,71,
E. Cantero,33,178,78,Paraguay,CD Cobresal,68,68,Right,High/Low,,SUB,2013-01-01,2024,,,63,68,46,57,24,68,"Avoids Using Weaker Foot, Long Passer (CPU AI Only), Giant Throw-in, Outside Foot Shot"
J. Mahecha,31,176,70,Colombia,La Equidad,68,68,Right,Medium/High,,SUB,2016-12-19,2021,,,55,60,68,65,66,63,
J. Roa,27,172,67,Colombia,Independiente Santa Fe,68,68,Right,High/Medium,,SUB,2010-07-01,2024,,,77,46,61,72,60,80,Diver
L. Castellanos,35,183,78,Colombia,Independiente Santa Fe,68,68,Right,Medium/Medium,,GK,2015-12-18,2024,,,,,,,,,Flair Passes
D. Mosquera,27,182,72,Colombia,Independiente Medellín,68,68,Left,High/Medium,,RES,,2019,,,77,39,59,60,64,74,"Inflexible, Power Free-Kick"
J. Hernández,33,176,73,Colombia,Cúcuta Deportivo,68,68,Right,Medium/High,,CAM,2019-01-30,2024,,,69,58,64,65,64,76,"Selfish, Crowd Favourite"
C. Alzáte,31,163,63,Colombia,Alianza Petrolera,68,68,Right,Medium/Medium,,LM,2019-07-08,2020,,,80,60,69,70,38,50,"Early Crosser, Finesse Shot"
J. Arboleda,29,182,70,Colombia,Deportes Tolima,68,68,Right,Medium/Medium,,RB,2016-12-24,2024,,,78,40,62,65,64,72,Dives Into Tackles (CPU AI Only)
H. Rojas,31,177,74,Colombia,Deportivo Pasto,68,68,Left,High/Medium,,LB,2019-01-02,2024,,,66,64,68,68,59,65,"Leadership, Argues with Officials, Finesse Shot"
J. Cuero,31,175,70,Colombia,Rionegro Águilas,68,68,Left,Medium/Low,#Speedster,LM,,2019,,,90,64,60,67,43,57,Early Crosser
F. Battiste,35,178,78,Argentina,Unión Magdalena,68,68,Left,Medium/Medium,,LCB,2018-07-01,2024,,,63,51,66,66,67,67,Leadership
J. López,30,194,80,Colombia,Cúcuta Deportivo,68,68,Right,Low/Medium,#Strength,RCB,2019-07-15,2023,,,33,39,37,40,68,80,Long Passer (CPU AI Only)
J. Duque,32,183,79,Colombia,Independiente Santa Fe,68,68,Right,Medium/Low,,ST,2019-07-12,2024,,,67,67,55,67,26,69,Power Free-Kick
D. Llanos,29,173,68,Chile,Unión Española,68,68,Right,High/Medium,,SUB,2019-01-23,2019,,,78,65,57,61,27,65,
F. Cordero,31,172,71,Chile,CD Universidad de Concepción,68,68,Left,High/Medium,,SUB,2019-01-23,2020,,,74,57,65,67,62,64,
F. Manríquez,35,168,72,Chile,CD Universidad de Concepción,68,68,Right,Medium/Medium,,CAM,2013-06-01,2019,,,57,63,71,65,59,56,"Inflexible, Speed Dribbler (CPU AI Only)"
G. Díaz,31,175,75,Argentina,Club Atlético Colón,68,68,Right,Medium/Medium,,SUB,2019-07-03,2024,,,69,61,70,72,62,73,"Speed Dribbler (CPU AI Only), Giant Throw-in"
R. Ranftl,27,180,75,Austria,LASK Linz,68,68,Right,Medium/High,,RM,2015-07-01,2021,,,75,60,62,67,61,67,
I. Kecojević,31,191,83,Montenegro,Cádiz CF,68,68,Right,Medium/Medium,#Strength,SUB,2017-08-09,2020,,,52,41,47,49,66,77,
A. Monfray,28,185,76,France,Grenoble Foot 38,68,68,Right,Medium/Medium,,RB,2019-07-01,2022,,,67,54,63,64,65,83,
F. Martin,29,179,79,France,Paris FC,68,68,Left,Medium/Medium,,RCM,2019-06-11,2021,,,67,72,71,69,47,64,Argues with Officials
N. Valentini,30,184,82,Argentina,Ascoli,68,68,Right,Low/Medium,,LCB,2018-08-16,2020,,,46,29,42,54,67,74,Long Passer (CPU AI Only)
P. Muñoz,33,173,69,Chile,Coquimbo Unido,68,68,Right,Medium/Low,,SUB,2019-01-01,2020,,,86,57,56,72,24,63,Early Crosser
M. Arini,32,178,75,Italy,US Cremonese,68,68,Right,Medium/High,,LCM,2017-08-09,2020,,,56,50,63,64,59,81,"Injury Prone, Avoids Using Weaker Foot"
P. Zulechner,29,182,79,Austria,FC Erzgebirge Aue,68,68,Right,Medium/Medium,,SUB,2019-01-30,2020,,,63,66,53,63,31,64,Power Free-Kick
R. Dugimont,33,182,75,France,AJ Auxerre,68,68,Right,High/Low,,SUB,2018-08-13,2021,,,62,71,68,67,39,76,
